Voyage_Start_Date,Incident_Category,Incident_Subcategory,Room_Number,Guest_Type,Status,Department,Reference_Id,Added_Date,Description,Latest_Comment,Resolution_Details
2/11/2024,Account/Billing ,Sailor Loot,12034A,Regular Guest,Closed-Resolved,Sailor Services,SC-35816232437581497,2/14/24 9:21 PM,HDA SB 2/14/24 - sailor stated that she is missing 600$ SL ,"HDA SB 2/14/24- reply from solutions ""regarding BK 1064488 all I see are: Exclusive SL - $100 // BSL (PR) $200 // SL $100 - I'm not sure where the $600 comes from? The sailor may have to reach out to their TA/FM for more details.""",SQ message sent to the sailor.
2/11/2024,Dining Experience ,Service,11230Z,Regular Guest,Closed-Resolved,Restaurant,SC-35817596952413272,2/14/24 9:38 PM,Sailors felt rush during the dinner.,RS Princess extended apologies to sailors.,RS Princess offered sailors a dinner for the next day for recovery. Sailors appreciate it however they have other plans.
2/11/2024,Entertainment Experience ,Survey,12098Z,Regular Guest,Closed-Resolved,Entertainment,SC-35766783122516108,2/14/24 9:54 AM,"Q: How was your entertainment?, A: 3
Q: Are there any shows or activities that you would like to see that we don't currently offer?, A: Increased caliber and it seems like you want us to entertain ourselves, comedy show weak. Red room scarlet night week. Expected more . Especially on Scarlet night.
Q: Are you satisfied with the amount of shows and activities during the day?, A: 2
Q: Are you satisfied with the amount of shows and activities at night?, A: 2
Q: Not finished? Tell us everything!, A: Other cruise lines offer more.
",,V log is for documenting purposes and comments were passed to the relevant department 
2/11/2024,Bar Experience ,Cost,9322Z,Regular Guest,Closed-Resolved,Bars,SC-35767089749115969,2/14/24 9:59 AM,"02/14/2024 HDA JKG. Sailor came to desk frustrated because she was charged 25$ for the Moet imperial momosa. She would never have purchased this if she had know the price. She suggests there should be a price stated there. There were no other options besides what she was offered. She would like a refund. HDA informed the sailor that it is not that its champagne its the type of champagne, rightfully charged for what she had. hda informed the sailor that the department will be notified and we will inform within 12hrs of the response. ","ABOM Augusto will meet the Sailors and apologize about the situation, check was already changed.",Sailors were contacted by ABOM Augusto but have not responded to his request to meet. 
2/11/2024,Dining Experience ,Survey,13026Z,Regular Guest,Closed-Resolved,Restaurant,SC-35810520483644380,2/14/24 10:03 PM,"Q: How was your dining experience?, A: 1
Q: Quality of the drinks?, A: 3
Q: Quality of the food?, A: 1
Q: Service?, A: 3
Q: Not finished? Tell us everything!, A: Disappointed that my husband did not receive any birthday recognition even though the request was put through and acknowledged earlier today. 
",,
2/11/2024,Other ,Survey,10102Z,Regular Guest,Closed-Resolved,Sailor Services,SC-35818665726186629,2/14/24 10:05 PM,"Q: How would you rate the overall Virgin Voyages Experience so far?, A: 2
Q: Tell us everything!, A: I had an issue where I could attended an excursion due to illness and was told no refund. Other cruise lines had refunded us the money. I will probably not book this cruise line again and will definitely pass that on to others.  
",,02/16/24 10:15 HDM the sailor that was deemed medically unfit was refunded // nothing further 
2/11/2024,Cabin ,Survey,13046A,Regular Guest,Closed-Resolved,Housekeeping,SC-35774717649868692,2/14/24 10:06 AM,"sailor mentioned in survey that ,"" Staff is excellent. Can't get the app to work properly since on board. Had 2 IT people try to help, but couldn't resolve it. Air conditioning in cabin could be cooler. Acrobatic show was very good.""",DM met the sailor and found the balcony door was not closed properly. DM explained again about the procedure and the sailor understood. They confirmed the CH was explained about it but they didn't put the lock completely down. Now the AC is working fine and sailors are happy with the temperature,no further assistance needed at this moment
2/11/2024,Cabin ,Tablet or TV Issue,5286Z,Regular Guest,Cancelled,Housekeeping,SC-35774729559589482,2/14/24 10:06 AM,Tablet or TV Issue,,
2/11/2024,Entertainment Experience ,Survey,14011Z,VIP2,Closed-Resolved,Entertainment,SC-35811406641525659,2/14/24 10:17 PM,"Q: How was your entertainment?, A: 2
Q: Are there any shows or activities that you would like to see that we don't currently offer?, A: NA
Q: Are you satisfied with the amount of shows and activities at night?, A: NA
Q: Are you satisfied with the amount of shows and activities during the day?, A: NA
Q: Not finished? Tell us everything!, A: NA
",,No action required
2/11/2024,Entertainment Experience ,Survey,14011Z,VIP2,Closed-Resolved,Entertainment,SC-35811406031983481,2/14/24 10:17 PM,"Q: How was your entertainment?, A: 2
Q: Are there any shows or activities that you would like to see that we don't currently offer?, A: NA
Q: Are you satisfied with the amount of shows and activities at night?, A: NA
Q: Are you satisfied with the amount of shows and activities during the day?, A: NA
Q: Not finished? Tell us everything!, A: NA
",,No action required
2/11/2024,Entertainment Experience ,Survey,13142A,Regular Guest,Closed-Resolved,Entertainment,SC-35811455500552839,2/14/24 10:18 PM,"Q: How was your entertainment?, A: 5
Q: Are there any shows or activities that you would like to see that we don't currently offer?, A: Would love to have more options for evening entertainment (piano singer, more find bands) there just doesn’t seem to be enough to do casually at night 
Q: Are you satisfied with the amount of shows and activities during the day?, A: 3
Q: Are you satisfied with the amount of shows and activities at night?, A: 2
Q: Not finished? Tell us everything!, A: NA
",,Feedback noted 
2/11/2024,Cabin ,Tablet or TV Issue,5286Z,Regular Guest,Closed-Resolved,Housekeeping,SC-35776886300880775,2/14/24 10:25 AM,Tablet or TV Issue,,tv/tablet are working well
2/11/2024,Other,,13206Z,Regular Guest,Closed-Resolved,Casino,SC-35819833698179196,2/14/24 10:25 PM,"While Mr. Kappes was playing at the Dice table, a new player came into the table and wanted to shoot the Dice. The stick person (Casino Dealer) explained the new player that he would need to wait for 1 round as a matter of respect for all other players already engaged in the game. The new player agreed, but Mr. Kappes argued this rule. The dealer politely tried to explain him the rule, but Mr. Kappes would disagree with it and kept questioning the dealer.",,"The Assistant Casino Manager that happened to be close to the table, approached them and tried to help the dealer explain the rules to Mr. Kappes, but he got very upset and dismissive as he did not agree with this rule. In the end, he continued playing in the Casino with no other complaint."
2/11/2024,Cabin ,Music,8334A,Regular Guest,Closed-Resolved,Housekeeping,SC-35820344372392129,2/14/24 10:33 PM,"02/14/24 10:29pm HDA AI: Sailor called SS to complain about the noise from red room , HDA called housekeeping to let them know and they checked. HDA advised the sailor that music is from ships in the night and the show will end in 15 minutes. HDA made a report.","02/15/24 21:35 GrpMrg AV: Checked with DM and confirm the music was coming from the Ent room and ask to check one cabin for sleeping purposes (8106A). Follow up call was made and spoke with sailor John, apologize for the noise experienced and once again offered to move cabins, sailor refused to move stating he personally knows Richard Branson, being part of our 485C sailors and asked to move the people playing (they stop by now) instead of them for 1 night. sailor also mentioned this is happening since day one and the calls shouldn't being ignored and hung up. Cabin for sleeping purposes 8106A or XL 10346Z",No further action is required until sailors approach. 
2/11/2024,Dining Experience ,Service,10011A,Regular Guest,Closed-Resolved,Restaurant,SC-35820522232806299,2/14/24 10:33 PM,"Sailors celebrating a birthday, we served the the cake and wished them happy bday. However, Sailors are expected  crew gather singing and more.",Leaders communicate to SS services that we dont gather crew and sing happy bday loud during the dinner. We serve the bubble cake and wish them happy birthday.,RS Princess advised the Sailor Services to communicate to sailors regarding the mentioned matter. 
2/11/2024,Cabin ,Shower or Sink,10174A,Regular Guest,Cancelled,Housekeeping,SC-35776212557579720,2/14/24 10:38 AM,Shower or Sink,,
2/11/2024,Dining Experience ,Food,14202A,Regular Guest,Closed-Resolved,Restaurant,SC-35814780885008641,2/14/24 10:38 PM,Sailors order Clam chowder and found small a piece of plastic on his soup  ,"Server report to RM Tetiana , RM apology's to the sailors right away and offer another one, however sailors refused. ","RM Tetiana as apology offer to the sailors drink on us , sailors happy with resolution and complimetary Titos on the rocks were served to the sailors "
2/11/2024,Dining Experience ,Service,10222A,Regular Guest,Closed-Resolved,Restaurant,SC-35815396421899708,2/14/24 10:48 PM,"Sailors did not like the table and complained that it was too sunny when they were escorted, Seater offered another table. Still, sailor complained that it's too bright, sailor moved again to another table. Sailors have a bottle of wine from the casino but refused to open the bottle. ",,"Server informed that as per the policy, bottle should be opened at the venue. ARM apologized and also offered the bottle but sailors refused and was rude to the server. Casino host is informed. FYI"
2/11/2024,Dining Experience ,Reservation/Avail,9104Z,Regular Guest,Closed-Resolved,Restaurant,SC-35821460081161164,2/14/24 10:52 PM,Sailors were waiting to be seated up to 25 minute due to peak hours . ,"RM Tetiana apologies to the sailors and  right away reset window table for the sailors , as apologies for waiting time complimentary drinks were served to the sailors . ",Complimentary drinks were offered and sailor appreciated resolution and extra attention
2/11/2024,Dining Experience ,Survey,11306A,Regular Guest,Closed-Resolved,Restaurant,SC-35815694309417892,2/14/24 10:53 PM,"Q: How was your dining experience?, A: 2
Q: Quality of the drinks?, A: NA
Q: Service?, A: NA
Q: Menu choices?, A: 2
Q: Not finished? Tell us everything!, A: NA
",,
2/11/2024,Dining Experience ,Service,11302A,Regular Guest,Closed-Resolved,Restaurant,SC-35815662589113660,2/14/24 10:53 PM,"Rm Tetiana approached sailors and check on their experience, sailors mentioned that they drink take long time to be served . 
",,RM Tetiana apologize to the sailors for waiting time and complimentary glass of champagne was offered as apology but they refused. FYI
2/11/2024,Cabin ,Balcony Condition,11302A,Regular Guest,Closed-Resolved,Sailor Services,SC-35766027235353263,2/14/24 10:54 AM,Sailors requested to open the balcony divider door between 11302A and 11298A,,Sailors signed the waivers and the door was opened
2/11/2024,Cabin ,Survey,5278Z,Regular Guest,Closed-Resolved,Housekeeping,SC-35777789764251850,2/14/24 10:57 AM,Sailor mentioned to the CH regarding the  noise coming from the Manor,02/14 @9am-DM tried to meet sailors however they are not in the cabin anymore.  Will try to meet them later on.,wrong cabin no
2/11/2024,Dining Experience ,Reservation/Avail,13138A,Regular Guest,Closed-Resolved,Restaurant,SC-35809388363613517,2/14/24 10:57 PM,Sailor were waiting to be seated up to 25 min due to pea hours ,RM Tetiana apologies to the sailors and private sofa were prepared for them ,"RM Tetiana as apologies served to the sailors complimentary drinks , sailors very happy with  extra attention and very happy with resolution"
2/11/2024,Dining Experience ,Food,11358A,Regular Guest,Closed-Resolved,Restaurant,SC-35821976481689338,2/14/24 10:57 PM,"Sailor ordered chowder which they returned because garnish was cold, server brought back another and it was to their satisfaction. Sailors also a bit upset because of waiting time. ",,"Server and ARM took action and made sure main course was served rapidly and to the right temperature but even though lady said her lamb chops were cold. 

Drinks were offered but they don’t drink alcohol but they were pleased that they were being looked after constantly."
2/11/2024,Dining Experience ,Survey,14302Z,Regular Guest,Closed-Resolved,Restaurant,SC-35813831373699522,2/14/24 10:58 PM,"Q: How was your dining experience?, A: 2
Q: Vibe of the restaurant?, A: NA
Q: Knowledge of the crew?, A: NA
Q: Service?, A: NA
Q: Not finished? Tell us everything!, A: Food was far below anything else we have had on the ship. I am vegan and twice I was served non vegan items. Good thing I question everything. I had pre-planned via sailor services a birthday celebration for my fiancée. Nothing was done for him. While leaving, I mentioned this to the staff at the hostess stand and the first response was the hostess was not there and second comment was “we can send a cake to your room”. Clearly that is not the celebration I requested. 
",Sailor were never served any non vegan food neither they mention to RM while checking on them during service. Cerebration cake was served after dinner service on the table. However sailor was expecting all crew to gather and sing happy birthday song which team was not aware of that. RM apologies for the inconvenience.,
2/11/2024,Entertainment Experience ,Survey,10314A,Regular Guest,Closed-Resolved,Entertainment,SC-35770861778652895,2/14/24 11:02 AM,"Q: How was your entertainment?, A: 1
Q: Are you satisfied with the amount of shows and activities at night?, A: NA
Q: Are there any shows or activities that you would like to see that we don't currently offer?, A: NA
Q: Are you satisfied with the amount of shows and activities during the day?, A: NA
Q: Not finished? Tell us everything!, A: NA
",,V log is for documenting purposes and comments were passed to the relevant department 
2/11/2024,Dining Experience ,Shipeats Late or Missed Deliv,11322A,Regular Guest,Closed-Resolved,Restaurant,SC-35771041405520956,2/14/24 11:05 AM,"HDA Virgil 10:59AM- sailor called ss to let us know that the milk from his order is missing. I have contacted shipeats to let them know, who assured me that they are sending it now. After about an hour sailor reached out again informing me that the order have not arrived yet. Ship eats team was contacted again who told me that order is being sent now, after about another 20minutes order was delivered. Sailor is not happy that the order was not fulfilled properly and that he also had to wait such a long time for it to be fixed. Sailor want delivery fee to be waived. I have contacted ship eats, who informed me that the supervisor is not there right now, but as soon as he is back, they will inform him to remove the charge. ",RS on duty met the sailors in The Wake and  apologize. Rs also offered the sailor free delivery for tomorrow morning and a bottle of bubbles.,RS on duty met the sailors in The Wake and apologize. Rs also offered the sailor free delivery for tomorrow morning and a bottle of bubbles.
2/11/2024,Account/Billing ,Other,11206A,Regular Guest,Closed-Resolved,Sailor Services,SC-35780397491650918,2/14/24 11:12 AM,"2/14/2024 11:09 HDA Bagas : Sailor came to SS desk stating that they are not aware of the promotional bar tab so they purchase additional $300 BT, sailor was wondering if they can get a refund, HDA explained it is not possible we can only create a report for management to review if conversion to sailor loot  can be approve. email will be sent accordingly.  ",2/14/2024 11:30 HDA Bagas : email has been sent to convert the BT,2/15/2024 10:32 HDA Bagas : BT has been converted 
2/11/2024,Cabin ,Minor Maint Issue,11358A,Regular Guest,Closed-Resolved,Housekeeping,SC-35779696821562967,2/14/24 11:16 AM,"Sailor informed the CH that there is noise coming from the balcony  frame during the night. DM met the sailor and apologized, there was no noise coming from the frame, the sailor insisted to call the carpenter. DM created aims and informed the sailor to dial 0 when the noise start so that the carpenter can check. DM will follow up",wrong cabin its cabin 10358A,Wrong cabin its 10358A
2/11/2024,Dining Experience ,Reservation/Avail,14102Z,Regular Guest,Closed-Resolved,Restaurant,SC-35810580326812986,2/14/24 11:17 PM,"During the dinner in the wake sailors were seated on wrong table by seater Michelle, table were prepared for Splash the Bash sailors.        Set up was put by Michelle on wrong table. And sailors have full menu from Splash the Bash package which they not been paid .  ",Situation was rectified by  serving to correct sailors the SFYB,"Seater Michelle will have training regarding importance of knowledge of venue layout, importance of company revenues and communication with Restaurant supervisor and her leader. ROM informed regarding situation . FYI"
2/11/2024,Dining Experience ,Food,12237A,VIP2,Closed-Resolved,Restaurant,SC-35104689370595350,2/14/24 11:20 PM,"Sailors had a reservation in Gunbae at 6:00 PM and were seated on time. Sailor David mentioned that he have a Shellfish Allergy, and he wanted to order the Crispy Chicken. Server explained that the chicken is contaminated with shellfish as it is fried in the same oil with the Hotbar which is made of mixed seafood. However sailor insisted and his wife mentioned that he will be fine with that. Sailor is fine and enjoyed their dining experience.",,For documentary purposes.
2/11/2024,Bar Experience ,Drink Choices Not Available,14198A,Regular Guest,Closed-Resolved,Bars,SC-35824291323902033,2/14/24 11:35 PM,Sailor was at the bar in On The Rocks and wanted to order Uncle Nearest Rye but there was not enough to make a shot. Sailor was advised and chose to have Uncle Nearest 1884 instead. After getting this some minutes passed and the sailor returned and asked for the half shot to be poured. When the bartender advised that she could not as there was no way to charge the sailor became rude towards the bar staff and began demanding the half shot. Bar staff politely explained all alcohol must be accounted for and removed the bottle from the display as no more in stock. ,logged for feedback by request of bar staff in case the sailor escalates the issue.,logged in case of further escalation from the sailor
2/11/2024,Entertainment Experience ,Survey,8062A,Regular Guest,Closed-Resolved,Entertainment,SC-35816191952282617,2/14/24 11:37 PM,"Q: How was your entertainment?, A: 2
Q: Are you satisfied with the amount of shows and activities during the day?, A: 2
Q: Are you satisfied with the amount of shows and activities at night?, A: 2
Q: Are there any shows or activities that you would like to see that we don't currently offer?, A: NA
Q: Not finished? Tell us everything!, A: Since we were at sea all day it seemed like there were less activities then days at port was very disappointing 
",,full
2/11/2024,Dining Experience ,Service,10174A,Regular Guest,Closed-Resolved,Restaurant,SC-35781348234808512,2/14/24 11:40 AM,Sailors came to check in with separate reservation and wanted to be together with a table of 4 for cabin 10094z/14186a. ,"after few minutes, 2 more sailors came and wanted to join them again from Cabin 14294z. RS informed the sailors that a new table will be given since they cannot fir all on the same table.",RS apologized and mentioned that the service will be slow since the server will have several tables at the same time. Sailors informed that they are fine slow service.
2/11/2024,Cabin ,Shower or Sink,10182A,Regular Guest,Closed-Resolved,Housekeeping,SC-33080298674052579,2/14/24 11:42 AM,Shower or Sink,"2/13/2024 DM LINDA
CH checked the shower and sink drains are draining.",The drains are draining
2/11/2024,Dining Experience ,Service,11198Z,Regular Guest,Closed-Resolved,Restaurant,SC-35824768326285676,2/14/24 11:47 PM,Sailors comment that wrong food were served to them ,Sailor were approached in GB by RM Gaiia apologies for their experience and as apology complimentary soju were served to the sailors.,Sailors appreciated talking to the manager and happy with extra attention
2/11/2024,Account/Billing ,Bar Loot,12214Z,Regular Guest,Closed-Resolved,Sailor Services,SC-35063361995083834,2/14/24 11:52 AM,02/14/2024/ HDA IRINA/ 11:30 am/Sailors purchased $300 BT in order to get $50 promotional. Payment was refunded for unknown reasons... Sailors are frustrated. ,02/16/2024/ HDA IRINA/7:27 am/ Sailors spent $303.04. Email was sent to Accountant to honor $50 PR BT,02/16/2024/ HDA IRINA/7:27 am/ Sailors spent $303.04. Email was sent to Accountant to honor $50 PR BT
2/11/2024,Dining Experience ,Shipeats Quality,13130A,Regular Guest,Closed-Resolved,Restaurant,SC-35782443947634534,2/14/24 11:52 AM,During curtesy check by RS sailor mentioned that the food they received was cold.,RS apologized and remade the order for the sailor and also removed the charge from the account.,
2/11/2024,Dining Experience ,Food,12154Z,Regular Guest,Closed-Resolved,Restaurant,SC-35825188971271589,2/14/24 11:54 PM,Sailors comment on the survey that food was not up to sailors expectation and Steaks were good but not steakhouse quality. ,"Sailors were approached in EV By RM of extra virgin and  thanks for their feedback. Complimentary drinks were served to the sailors  , ",Sailors happy with attention 
2/11/2024,Security ,Theft Alleged,9026A,Regular Guest,Closed-Resolved,Housekeeping,SC-35774253526420294,2/14/24 11:58 AM,"HDA Virgil 11:57AM- sailor messaged us on SQ as follows"" I just found out I cannot find one of my item in the room. instill have this one on Monday night. Picture attached. HDA replied""Ahoy Linda! Was this item inside your cabin and then it was missing or you think you might have lost it somewhere?"" Sailor replied ""It was missing from inside of my cabin. I did not carry out at all."" HDA informed housekeeping regarding this matter. ","2/14/24.9.50Pm.DM Herwandi : DM Met sailor and sailor explaining what is the issue. Sailor keep silver pouch with some small cash inside during embarkation evening inside the safe. Sailor was not lock the safe. 
And Sailor just remember again the pouch last night, and Pouch was not in the safe/closet.DM explaint to sailor that CH and ACH never see that pouch during cleaning everyday. And what we can do just to a have look around not to search. If sailor would like for cabin searching , DM suggest sailor to SS.
Sailor will think  about that and will let us know. DM apologize to sailor for the inconvenience .","2/14/24.9.50Pm.DM Herwandi : DM Met sailor and sailor explaining what is the issue. Sailor keep silver pouch with some small cash inside during embarkation evening inside the safe. Sailor was not lock the safe. And Sailor just remember again the pouch last night, and Pouch was not in the safe/closet.DM explaint to sailor that CH and ACH never see that pouch during cleaning everyday. And what we can do just to a have look around not to search. If sailor would like for cabin searching , DM suggest sailor to SS. Sailor will think about that and will let us know. DM apologize to sailor for the inconvenience ."
2/11/2024,Dining Experience ,Shipeats Quality,11238M,Regular Guest,Closed-Resolved,Restaurant,SC-35739581640296420,2/14/24 12:03 AM,"Sailor ordered steak medium throw the SE ,when sailor received steak she informed SS that steak was not hot enough.","SS inform supervisor Dragan.Dragan right away called sailor and apologized. Dragan informed chef to make very hot as per sailor request.
Order was prioritize and delivered by the supervisor.","Supervisor Dragan informed sailor that delivery fee will be removed as a apologized.
Sailor was very happy with extra attention and resolution"
2/11/2024,Account/Billing ,Incorrect Charge on Account,13050Z,Regular Guest,Closed-Resolved,Sailor Services,SC-35783699363371240,2/14/24 12:07 PM,"2/14/2024/HDA IRINA/ 12:03 pm/ Sailors purchased 2 Premium WiFi packages by mistake. And realized only now, that there is double charge. Sailors are insisting on cancelling one charge.  ",,2/14/2024/HDA IRINA/ 12:03 pm/ Charge has been cancelled. 
2/11/2024,Bar Experience ,Survey,11154A,Regular Guest,Closed-Resolved,Bars,SC-35731657112418119,2/14/24 12:08 AM,"Q: How was your bar experience?, A: 1
Q: Service?, A: 4
Q: Knowledge of the crew?, A: 3
Q: Menu choices?, A: 3
Q: Not finished? Tell us everything!, A: It was a horrible cup of coffee.
The fact that we paid for it made it that much more upsetting. It only takes like it was 1 shot of espresso and not a strong. Everything has been amazing so It was extra disappointing 
","Charges has been voided, ABOM will meet the Sailors to understand the situation and explain the Beverage standard for a coffee measurement.",Sailors were contacted by ABOM Augusto but have not responded to his request to meet. 
2/11/2024,Public Areas ,Public Area Maintenance,12078Z,Regular Guest,Closed-Resolved,Housekeeping,SC-35740088105735507,2/14/24 12:16 AM,"As the sailor washed her hands, the cabinet below the sink fell down.","DM contacted sailor Debra By phone and sailor stated she is fine so far, she went to gym as well this morning without any pain on her toe.","DM contacted sailor Debra By phone and apologized for the accident.  sailor stated she is fine so far, she went to gym as well this morning without any pain on her toe."
2/11/2024,Entertainment Experience ,Survey,14044M,Regular Guest,Closed-Resolved,Entertainment,SC-35734939925682346,2/14/24 12:27 AM,"Q: How was your entertainment?, A: 1
Q: Are you satisfied with the amount of shows and activities at night?, A: 1
Q: Are you satisfied with the amount of shows and activities during the day?, A: 1
Q: Are there any shows or activities that you would like to see that we don't currently offer?, A: All your shows are deafeningly LOUD and massively OVERCROWDED.
Q: Not finished? Tell us everything!, A: This is our FIRST and definitely our LAST Virgin cruise. We’ve sailed on more than a hundred cruises with eight other cruise lines and Virgin is  BY FAR THE WORST. Never again !!!!!!  Long lines for everything and the most uncomfortable beds anywhere, basically futons really. Virgin couldn’t afford real beds? 
",,Feedback noted 
2/11/2024,Cabin ,Air Conditioning,11094A,Regular Guest,Closed-Resolved,Housekeeping,SC-35733794256981102,2/14/24 12:44 AM,Air Conditioning,"2/14/2024 9:45am DM Linda
CH confirmed it was fixed",The ac is working
2/11/2024,Cabin ,Damaged/Stained,11326A,Regular Guest,Closed-Resolved,Housekeeping,SC-35785235456434713,2/14/24 12:44 PM,The sailor post a comment saying there are some stains on the carpet and the table that look a little weird. DM went to the cabin to meet the sailors but they were not in the cabin. DM will follow up,"2/15/2024 19:45 DM Linda
DM checked the sailor was not in the cabin.",DM could not met the sailor
2/11/2024,Account/Billing ,Onboard Credit Not Applied,12178A,Regular Guest,Closed-Resolved,Sailor Services,SC-35784410443201399,2/14/24 12:48 PM,2/14/24 12:47PM HDA VB: Sailors approached SS stating should be honored with $100 SL.HDA advised sailors the case will be documented,"02/14/24 16:26 HDM as per S2S ""I don't see the booking is eligible for any additional loot. they are already sailing on an Access Key. What is the reason they are asking for $100.00 Sailor loot? have they provided a particular promotion?""",V log is for documenting purposes and comments were passed to the relevant department // sailor has not approached the desk nothing further 
2/11/2024,Cabin ,Shower or Sink,13050A,Regular Guest,Closed-Resolved,Housekeeping,SC-35784707554658384,2/14/24 12:53 PM,Shower or Sink,issue has been resolved by plumber,issue has been resolved
2/11/2024,Dining Experience ,Service,10314A,Regular Guest,Closed-Resolved,Restaurant,SC-35862945247457891,2/15/24 1:50 PM,Sailor waited for more than 25 minutes for the food to be served. Sailors were a bit upset.,,Server apologized for the long wait and informed the RS. RS offered 2 glasses of sparkling wine as a sing of apology. Sailors were happy with the attention. 
2/11/2024,Account/Billing ,Other,10298Z,Regular Guest,Closed-Resolved,Sailor Services,SC-35879009714334154,2/15/24 2:51 PM,"2/15/24 HDA CANSU - Sailor approached to SS Desk in Bimini Beach and told that she paid $60 for the umbrellas in front of the beach. HDA told that all the chairs are free of charge in here. Sailor told that there are rental chair & umbrellas. HDA went to the beach and checked the chairs and spoke with the person who rented. HDA asked to the person who rented the chair about why they are renting the umbrellas. Umbrellas are different than the usual ones, the colour of them are navy blue. And the person told that these are special ones, not belong to the property. HDA called Beach Club Manager Silvio but no response from him. ","2/15/24 HDA CANSU - HDA spoke with Beach Club Manager and he advised that the umbrellas are rental one, in Bahamas all the beach is public and people can rent umbrellas. Vlog will be close due to no specific resolution.",2/15/24 Umrellas are rental ones even in the property. 
2/11/2024,Other,,11090Z,VIP2,Closed-Resolved,Casino,SC-35836954382225816,2/15/24 2:54 AM,"While Mr. Cheek was playing at the dice table, it came the time for the dealer's rotation. As the new dealer arrived at Mr. Cheek's part of the table (base), he told to the outgoing dealer, ""You're leaving me with this Nazi,"" referring to the incoming dealer.",,"The Assistant Casino Manager, who was nearby, approached Mr. Cheek and told him that he couldn't refer to the dealer in such a diminishing manner and asked him to show more respect towards the staff. Mr. Cheek denied the accusation and remained silent for the duration of his time at the table."
2/11/2024,Medical w/ Potential Liability ,Other,10318A,Regular Guest,Closed-Resolved,Sailor Services,SC-35823802433722698,2/15/24 2:57 AM,"02/15/24 12:15am HDA CC: Sailor sent an SQ message stating "" Hello, we got out of the hot tub to the right and realized both of us had rashes from the water, potentially too much chlorine or something in the water and just wanted to let you know. We got out at 11:20 from the 15th floor""",02/15/24 12:15am HDA CC: HDA informed the  Public area manager on duty regarding the sailor's feedback.,"02/16/24 10:20 HDM sailors disembarked 2024-02-16 09:04:17	"
2/11/2024,Cabin ,Shower or Sink,10182A,Regular Guest,Closed-Resolved,Housekeeping,SC-35878616580038736,2/15/24 5:22 PM,Shower or Sink,,CH went to check and created for plumber to follow up 
2/11/2024,Cabin ,Tablet or TV Issue,13274A,Regular Guest,Closed-Resolved,Housekeeping,SC-35888885795465608,2/15/24 5:32 PM,Tablet or TV Issue,,CH confirmed it has been fixed.
2/11/2024,Cabin ,Shower or Sink,11014A,Regular Guest,Closed-Resolved,Housekeeping,SC-35890265489593273,2/15/24 5:43 PM,Shower or Sink,,Ch confirmed everything is fine
2/11/2024,Cabin ,Neighbor,10262M,Regular Guest,Closed-Resolved,Sailor Services,SC-35889688822680765,2/15/24 6:02 PM,02/15/24 17:45HRS HDA AC: The sailors called reported that their neighbors in cabin 10264M were fighting. HDA thanked the sailors for informing him and advised the sailors that he will immediately inform security. HDA called and informed Percy Security supervisor who attended to the cabin in question and found out that the sailors weren't fighting they were just upset because they had lost a phone and were just frustrated. ,,Sailors were not fighting as per Security. IM opened for record purposes.
2/11/2024,Other,,12011Z,VIP2,Closed-Resolved,Sailor Services,SC-33191062613049741,2/15/24 6:28 PM,"Sailors reported to RSA TANYA, Sailors missing Grind Hump sex toy it cost $83 yesterday evening. sailors have searched everywhere but nothing was found. DM will follow up to check with CH this evening. ",,"DM and CH went to check and found it , all good ."
2/11/2024,Shore Thing Experience ,Overall Experience,11226A,Regular Guest,Closed-Resolved,Shore Things,SC-35894292527405708,2/15/24 6:56 PM,"Sailor gave feedback that the food portion was abysmal, they did not visit the Rod & Gun Club as described & it ruined there day ","Reached out to sailor on SQ to relay that after conversing with our TO we can refund 50% of there tour price back, sailor also has been given the follow up complaints email & phone number, sailor happy with 50% ",Sailor happy with 50% discount 
2/11/2024,Cabin ,Toilet Not Flushing,15315A,VIP1,Closed-Resolved,Housekeeping,SC-35851355921430974,2/15/24 7:23 AM,Toilet Not Flushing,,aims created and was fixed already
2/11/2024,Entertainment Experience ,Survey,11114Z,Regular Guest,Closed-Resolved,Entertainment,SC-35852352054331890,2/15/24 7:27 AM,"Q: How was your entertainment?, A: 2
Q: Are you satisfied with the amount of shows and activities at night?, A: 3
Q: Are you satisfied with the amount of shows and activities during the day?, A: 3
Q: Are there any shows or activities that you would like to see that we don't currently offer?, A: NA
Q: Not finished? Tell us everything!, A: NA
",,02/15 SSM: Survey received without comments. SQ message sent.
2/11/2024,Lost & Found ,Lost Item,10350Z,Regular Guest,Closed-Resolved,Sailor Services,SC-35895337273854539,2/15/24 7:43 PM,2/15/24 7:42PM HDA VB: Sailor called HDA stating she would like to report missing retainer. Sailor did not provide any more details just the fact she would like to speak with security.,2/15/24 9:40 PM HDA VB: HDA sent to HSK team a message about missing item/HDA gave a call to cabin however no response,"02/16/24 10:17 sailors disembarked 2024-02-16 09:47:04	"
